"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72483023232","1995-01-01","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  43.3","24","  41.5","24","1019.4"," 9","018.4"," 9","  4.8","24","  1.3","24"," 10.1","999.9","  51.1","*","  39.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-02","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  40.9","24","  39.4","24","1018.3"," 9","017.3"," 9","  4.6","24","  2.5","24"," 10.1","999.9","  48.0","*","  33.1","*"," 0.00","D","999.9","100000"
"72483023232","1995-01-03","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  47.6","24","  44.6","24","1011.9"," 9","011.1"," 6","  7.1","24","  5.9","24"," 15.0","999.9","  55.0","*","  44.1","*","99.99"," ","999.9","110000"
"72483023232","1995-01-04","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.3","24","  45.7","24","1014.7","10","999.9"," 0","  7.5","24","  9.8","24"," 17.1"," 24.9","  54.0","*","  48.0","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-05","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  48.9","24","  45.7","24","1002.5"," 9","999.9"," 0"," 11.7","24","  8.7","24"," 15.0","999.9","  57.9","*","  44.1","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-06","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  48.0","24","  44.9","24","1016.2"," 9","015.1"," 9"," 14.2","24","  7.7","24"," 17.1","999.9","  55.9","*","  46.0","*"," 0.00","D","999.9","010000"
"72483023232","1995-01-07","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.0","24","  45.6","24","1004.9"," 9","003.9"," 9"," 17.4","24"," 14.6","24"," 19.0"," 25.8","  55.9","*","  48.0","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-08","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.9","24","  49.0","24","1011.7"," 9","010.7"," 9"," 11.6","24"," 14.2","24"," 20.0","999.9","  55.9","*","  51.1","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-09","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  58.6","24","  53.6","24","1010.3"," 9","009.3"," 9"," 16.5","24"," 15.7","24"," 25.1"," 39.8","  62.1","*","  54.0","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-10","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  56.6","24","  54.0","24","1001.8"," 9","000.7"," 7","  9.1","24"," 14.2","24"," 25.1"," 35.0","  61.0","*","  53.1","*"," 0.00","H","999.9","110010"
"72483023232","1995-01-11","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.6","24","  48.7","24","1008.7"," 9","008.0"," 7"," 16.6","24","  9.6","24"," 15.0"," 22.0","  60.1","*","  50.0","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-12","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.0","24","  50.3","24","1009.2"," 9","008.2"," 9"," 13.2","24"," 13.4","24"," 21.0"," 24.9","  59.0","*","  51.1","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-13","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  56.2","24","  54.2","24","1015.6"," 9","014.7"," 9","  9.8","24"," 10.1","24"," 22.0"," 29.9","  61.0","*","  54.0","*","10.08","G","999.9","010000"
"72483023232","1995-01-14","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.7","24","  54.2","24","1012.6"," 9","011.6"," 9"," 11.3","24"," 11.2","24"," 15.9"," 17.9","  62.1","*","  53.1","*","99.99"," ","999.9","010000"
"72483023232","1995-01-15","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.2","24","  46.1","24","1011.2"," 9","010.2"," 9"," 21.5","24","  4.1","24","  8.0","999.9","  59.0","*","  32.9"," "," 0.00","D","999.9","010000"
"72483023232","1995-01-16","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  47.0","24","  42.2","24","1014.1"," 9","013.1"," 9"," 19.3","24","  5.2","24"," 12.0","999.9","  57.0","*","  43.0","*"," 0.00","H","999.9","010000"
"72483023232","1995-01-17","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  41.4","24","  39.4","24","1019.3"," 9","018.3"," 8"," 11.9","24","  0.9","24","  4.1","999.9","  52.0","*","  34.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-01-18","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  46.2","24","  41.8","24","1023.2"," 9","022.2"," 8"," 11.1","24","  0.8","24","  5.1","999.9","  55.0","*","  41.0","*"," 0.00","D","999.9","000000"
"72483023232","1995-01-19","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  45.3","24","  41.5","24","1022.6"," 9","021.6"," 9","  9.6","24","  2.7","24","  7.0","999.9","  54.0","*","  37.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-01-20","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  43.7","24","  41.4","24","1012.8"," 9","011.8"," 9","  5.8","24","  1.6","24","  7.0","999.9","  54.0","*","  37.9","*"," 0.00","C","999.9","100000"
"72483023232","1995-01-21","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  48.5","24","  43.7","24","1015.3"," 9","014.3"," 9"," 11.4","24","  5.4","24"," 15.0"," 22.0","  54.0","*","  44.1","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-22","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  51.1","24","  46.6","24","1013.7"," 9","012.6"," 9"," 10.4","24","  7.9","24"," 18.1"," 22.0","  55.0","*","  48.9","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-23","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.6","24","  48.3","24","1010.7"," 9","009.7"," 9"," 22.9","24"," 10.1","24"," 15.0","999.9","  57.0","*","  50.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-24","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.1","24","  49.8","24","1006.6"," 9","005.5"," 9"," 15.9","24","  9.8","24"," 18.1","999.9","  57.0","*","  50.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-25","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  51.9","24","  48.6","24","1007.0"," 9","006.0"," 9"," 20.5","24","  2.5","24"," 12.0","999.9","  59.0","*","  34.0"," ","99.99"," ","999.9","110000"
"72483023232","1995-01-26","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.4","24","  47.8","24","1014.5"," 9","013.5"," 9"," 12.6","24","  5.2","24"," 10.1","999.9","  59.0","*","  46.9","*"," 0.00","D","999.9","110010"
"72483023232","1995-01-27","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.8","24","  49.7","24","1020.8"," 9","019.8"," 9","  3.9","24","  9.9","24"," 14.0","999.9","  53.1","*","  48.0","*","99.99"," ","999.9","110000"
"72483023232","1995-01-28","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.5","24","  52.4","24","1024.3"," 9","023.3"," 9"," 11.2","24","  4.6","24"," 10.1","999.9","  61.0","*","  38.8"," "," 0.00","H","999.9","110000"
"72483023232","1995-01-29","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.6","24","  51.8","24","1024.8"," 9","023.8"," 9","  7.5","24","  0.6","24","  6.0","999.9","  60.1","*","  46.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-01-30","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.9","24","  53.9","24","1024.8"," 9","023.7"," 8","  3.9","24","  1.2","24","  7.0","999.9","  60.1","*","  53.1","*"," 0.00","H","999.9","110000"
"72483023232","1995-01-31","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.5","24","  56.0","24","1023.9"," 9","022.9"," 9","  5.4","24","  2.2","24"," 11.1","999.9","  66.0","*","  52.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-01","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.9","24","  56.9","24","1023.2"," 9","022.2"," 9","  2.7","24","  1.0","24","  6.0","999.9","  64.0","*","  54.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-02","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.9","24","  55.6","24","1022.2"," 9","021.1"," 9","  3.2","24","  1.6","24","  5.1","999.9","  66.0","*","  54.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-03","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  56.0","24","  53.4","24","1023.7"," 9","022.7"," 9","  4.0","24","  0.2","24","  4.1","999.9","  66.9","*","  50.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-04","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.5","24","  50.1","24","1023.7"," 8","022.7"," 8","  1.0","24","  0.4","24","  5.1","999.9","  59.0","*","  46.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-05","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.4","24","  49.0","24","1022.1"," 9","021.1"," 9","  0.8","24","  0.0","24","999.9","999.9","  54.0","*","  46.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-06","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.2","24","  48.8","24","1020.9"," 9","019.9"," 9","  1.9","24","  1.6","24","  5.1","999.9","  54.0","*","  48.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-07","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.5","24","  48.3","24","1015.9"," 9","014.9"," 9","  2.5","24","  0.8","24","  6.0","999.9","  53.1","*","  46.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-08","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  51.2","24","  48.8","24","1013.9"," 9","012.9"," 8","  3.7","24","  4.5","24"," 10.1","999.9","  57.9","*","  48.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-02-09","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.4","24","  46.0","24","1018.0"," 9","017.0"," 9"," 11.1","24","  1.8","24","  8.0","999.9","  62.1","*","  38.8","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-10","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.2","24","  46.7","24","1020.3"," 9","019.3"," 9","  9.3","24","  1.1","24","  5.1","999.9","  64.9","*","  41.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-11","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.1","24","  48.2","24","1015.6"," 9","012.7"," 9","  1.3","24","  1.4","24","  6.0","999.9","  54.0","*","  46.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-12","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  51.6","24","  47.4","24","1011.2"," 9","010.1"," 9","  5.4","24","  5.7","24"," 12.0","999.9","  57.9","*","  48.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-13","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  50.5","24","  44.9","24","1007.5"," 9","006.5"," 9"," 14.2","24","  8.5","24"," 18.1"," 19.8","  55.9","*","  48.0","*"," 0.00","D","999.9","010000"
"72483023232","1995-02-14","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  44.4","24","  38.7","24","1006.5"," 9","004.4"," 9"," 38.7","24","  5.9","24"," 15.0","999.9","  53.1","*","  33.1","*"," 0.00","D","999.9","000000"
"72483023232","1995-02-15","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  42.5","24","  34.8","24","1012.8"," 9","011.8"," 9"," 56.1","24","  3.1","24"," 10.1","999.9","  57.0","*","  30.9","*"," 0.00","D","999.9","000000"
"72483023232","1995-02-16","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  45.5","24","  38.7","24","1020.0"," 9","019.0"," 9"," 28.0","24","  1.1","24"," 10.1","999.9","  57.9","*","  37.0","*"," 0.00","D","999.9","000000"
"72483023232","1995-02-17","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  48.3","24","  43.0","24","1024.6"," 9","023.6"," 9","  6.7","24","  0.2","24","  4.1","999.9","  63.0","*","  37.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-18","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.5","24","  48.1","24","1026.7"," 9","025.7"," 9"," 10.9","24","  2.9","24","  8.9","999.9","  66.0","*","  44.1","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-19","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  55.0","24","  50.8","24","1027.2"," 9","026.2"," 9"," 11.4","24","  1.6","24","  7.0","999.9","  66.9","*","  43.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-20","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.4","24","  50.0","24","1022.6","10","021.5"," 9","  8.0","23","  0.6","24","  8.0","999.9","  71.1","*","  43.0","*"," 0.00","C","999.9","100000"
"72483023232","1995-02-21","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.2","24","  50.7","24","1016.5","10","016.8"," 9","  2.7","24","  0.6","24","  7.0","999.9","  72.0","*","  42.1","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-22","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  55.0","24","  52.5","24","1017.5"," 9","016.5"," 9","  4.5","24","  1.5","24","  6.0","999.9","  71.1","*","  45.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-23","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.4","24","  52.7","24","1019.5"," 9","018.5"," 9","  1.8","24","  2.9","24","  6.0","999.9","  62.1","*","  52.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-24","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.9","24","  50.9","24","1020.8"," 9","019.8"," 9","  2.9","24","  1.6","24","  5.1","999.9","  63.0","*","  48.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-25","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.9","24","  50.6","24","1018.4"," 9","017.4"," 9","  2.2","24","  0.2","24","  4.1","999.9","  57.9","*","  46.0","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-26","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.9","24","  49.3","24","1018.1"," 9","017.1"," 9","  4.1","24","  0.0","24","  4.1","999.9","  59.0","*","  53.1","*"," 0.00","D","999.9","100000"
"72483023232","1995-02-27","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.2","24","  48.5","24","1018.5"," 9","017.5"," 8","  3.3","24","  1.0","24","  4.1","999.9","  59.0","*","  46.9","*"," 0.00","C","999.9","100000"
"72483023232","1995-02-28","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.2","24","  49.2","24","1018.9"," 9","017.9"," 9","  2.8","24","  0.0","24","999.9","999.9","  59.0","*","  46.9","*"," 0.00","D","999.9","100000"
"72483023232","1995-03-01","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  56.0","24","  51.3","24","1015.9"," 9","014.9"," 9","  3.5","24","  1.2","24","  7.0","999.9","  66.0","*","  52.0","*"," 0.00","C","999.9","100000"
"72483023232","1995-03-02","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  55.7","24","  53.1","24","1011.3"," 9","010.3"," 9","  4.2","24","  2.1","24","  7.0","999.9","  64.9","*","  54.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-03-03","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.3","24","  50.2","24","1010.7"," 9","009.7"," 9"," 14.3","24","  5.9","24"," 14.0","999.9","  60.1","*","  48.0","*"," 7.20","G","999.9","110000"
"72483023232","1995-03-04","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  48.9","24","  41.7","24","1019.0"," 9","018.0"," 9"," 28.6","24","  3.3","24"," 10.1","999.9","  57.9","*","  39.9","*"," 0.00","G","999.9","000000"
"72483023232","1995-03-05","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  52.7","23","  49.3","23","1014.0"," 8","013.0"," 8","  8.3","23","  1.4","23","  8.0","999.9","  55.9","*","  51.1","*"," 0.00","H","999.9","110000"
"72483023232","1995-03-06","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  47.5","24","  38.9","24","1014.9"," 9","013.9"," 9"," 48.1","24","  3.5","24"," 10.1","999.9","  62.1","*","  39.0","*"," 0.00","D","999.9","000000"
"72483023232","1995-03-07","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  49.4","24","  39.8","24","1019.2"," 9","018.1"," 9"," 29.0","24","  1.1","24","  4.1","999.9","  62.1","*","  39.0","*"," 0.00","D","999.9","000000"
"72483023232","1995-03-08","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  54.3","24","  49.5","24","1015.1"," 9","014.1"," 9","  7.5","24","  3.5","24"," 15.0"," 24.9","  60.1","*","  52.0","*"," 0.00","D","999.9","110000"
"72483023232","1995-03-09","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.2","24","  49.5","24","1005.6"," 9","004.5"," 9"," 13.1","24"," 14.8","24"," 20.0"," 37.9","  60.1","*","  45.9"," "," 0.00","H","999.9","110000"
"72483023232","1995-03-10","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  57.5","24","  54.9","24","1002.2"," 9","001.1"," 9"," 10.4","24"," 14.8","23"," 25.1"," 39.8","  59.0","*","  54.0","*"," 0.00","H","999.9","110000"
"72483023232","1995-03-11","38.5069","-121.495","4.6","SACRAMENTO AIRPORT ASOS, CA US","  53.7","24","  51.2","24","1000.7"," 9","999.7"," 8"," 13.6","24","  7.9","24"," 14.0","999.9","  60.1","*","  50.0","*"," 0.00","H","999.9","010000"
