"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"08215099999","2017-01-01","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  36.9","24","  -4.5","23","9999.9"," 0","814.2","24"," 13.5","24","  3.8","24"," 12.0","999.9","  44.8","*","  30.7","*"," 0.00","G","999.9","000000"
"08215099999","2017-01-02","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  36.6","24","  14.5","24","9999.9"," 0","811.8","24"," 12.8","24"," 10.6","24"," 15.9","999.9","  45.1","*","  30.7"," "," 0.00","G","999.9","000000"
"08215099999","2017-01-03","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  36.3","24","  26.4","24","9999.9"," 0","816.0","24"," 11.1","24","  5.4","24"," 13.0","999.9","  41.9","*","  31.6","*"," 0.00","G","999.9","010000"
"08215099999","2017-01-04","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  35.6","24","  35.4","24","9999.9"," 0","817.8","24","  1.3","24","  7.7","24","  9.9","999.9","  38.3","*","  33.6"," "," 0.00","G","999.9","110000"
"08215099999","2017-01-05","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  34.1","24","  29.3","24","9999.9"," 0","817.1","24","  7.8","24","  5.7","24"," 11.1","999.9","  40.5","*","  29.7","*"," 0.02","G","999.9","100000"
"08215099999","2017-01-06","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  39.4","24","   7.8","24","9999.9"," 0","818.0","24"," 12.9","24","  4.5","24","  9.9","999.9","  48.6","*","  33.8"," "," 0.00","G","999.9","000000"
"08215099999","2017-01-07","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  40.3","24","   3.5","24","9999.9"," 0","819.2","24"," 13.1","24","  2.1","24","  5.1","999.9","  49.3","*","  34.5"," "," 0.00","G","999.9","000000"
"08215099999","2017-01-08","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  39.5","24","   5.3","24","9999.9"," 0","818.9","24"," 13.1","24","  3.3","24","  8.0","999.9","  49.5","*","  30.6","*"," 0.00","G","999.9","000000"
"08215099999","2017-01-09","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  34.0","24","  18.2","24","9999.9"," 0","817.0","24"," 12.0","24","  5.9","24","  9.9","999.9","  43.5","*","  28.4"," "," 0.00","G","999.9","000000"
"08215099999","2017-01-10","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  29.9","24","  27.6","24","9999.9"," 0","811.4","24","  3.0","24"," 13.0","24"," 15.9","999.9","  32.5","*","  27.7","*"," 0.00","G","999.9","101000"
"08215099999","2017-01-11","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  35.1","24","  34.8","23","9999.9"," 0","815.5","24","  3.6","24"," 10.9","24"," 18.1","999.9","  37.9","*","  30.6"," "," 0.12","G","999.9","110000"
"08215099999","2017-01-12","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  39.9","24","  31.2","24","9999.9"," 0","816.3","24"," 10.6","24","  6.5","24"," 11.1","999.9","  45.3","*","  32.5","*"," 0.02","G","999.9","000000"
"08215099999","2017-01-13","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  25.5","24","  25.1","24","9999.9"," 0","811.9","24","  3.7","24"," 11.9","24"," 17.1","999.9","  32.2","*","  21.4","*"," 0.00","G","  1.6","000000"
"08215099999","2017-01-14","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  20.8","24","  20.0","24","9999.9"," 0","814.4","24","  1.7","23","  9.7","24"," 12.0","999.9","  22.1","*","  19.2","*"," 0.00","G","999.9","101000"
"08215099999","2017-01-15","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  22.8","24","  22.2","24","9999.9"," 0","816.2","24","  0.7","24"," 13.0","24"," 15.9","999.9","  25.9","*","  19.9"," "," 0.00","G","999.9","101000"
"08215099999","2017-01-16","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  26.4","24","  26.1","24","9999.9"," 0","814.8","24","  0.4","24"," 13.0","24"," 15.0","999.9","  29.1","*","  23.5","*"," 0.00","G","  1.2","111000"
"08215099999","2017-01-17","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  22.4","24","  21.8","24","9999.9"," 0","810.2","24","  4.6","24"," 13.3","24"," 18.1","999.9","  29.3","*","   9.5","*"," 0.02","G","  1.6","111000"
"08215099999","2017-01-18","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  14.0","22","  12.3","22","9999.9"," 0","807.0","22","  8.6","22","  5.2","22"," 15.0","999.9","  22.1","*","   7.5","*"," 0.06","G","  2.8","001000"
"08215099999","2017-01-19","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  20.0","24","  17.3","24","9999.9"," 0","807.6","24"," 11.7","24","  7.8","24"," 19.0","999.9","  28.0","*","  12.7"," "," 0.00","G","  0.8","001000"
"08215099999","2017-01-20","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  25.6","24","  25.0","24","9999.9"," 0","807.1","24","  1.9","21"," 11.3","24"," 20.0"," 42.0","  28.9","*","  21.2"," "," 0.06","G","  1.6","111000"
"08215099999","2017-01-21","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  28.2","24","  26.8","24","9999.9"," 0","809.1","24","  9.3","23","  6.2","24"," 13.0","999.9","  33.4","*","  25.3"," "," 0.41","G","  4.7","001000"
"08215099999","2017-01-22","40.8","-4.0166666","1888.0","NAVACERRADA PUERTO, SP","  25.0","24","  22.6","24","9999.9"," 0","808.5","24","  8.2","24","  6.1","24","  8.0","999.9","  29.8","*","  22.1","*"," 0.00","G","  3.9","100000"
